ID,Tanggal Berita,Media,Judul Berita,Isu Ekonomi,Sektor,Ringkasan Berita,Link Berita
4532b408beba4d8c8eb781d180f9e3e9,2026-08-15,JATIM POS online,"iSentra Lamongan Berpotensi Jadi Pusat Ekonomi Baru, FKBN Dorong Keterlibatan Warga Lokal - JATIM POS online",Ekonomi Digital,J - Informasi dan Komunikasi,"iSentra Lamongan Berpotensi Jadi Pusat Ekonomi Baru, FKBN Dorong Keterlibatan Warga Lokal JATIM POS online",https://news.google.com/rss/articles/CBMizAFBVV95cUxPc2RmTE0xa3A5ai0yVXdxMUhTME9nVV80cVd3VkgwSzdpc2dKcUh6ZXJCSG9ycllkYnROWUs3YWR2MVc0SFR3aGVXQ2gyRU9xQWFlSWxOVnJWcEU4eGlxU3I1WUdqSm92eTRLeE5uZldETzQ3RVU2S21EZlgzSi1XTnJqamh1SUZzY2tWUzdHUTdRbXBEZy1abHhuTm9NcU1YaGliZ0p6M0x4N3NVVXFqb2VGdjR1ZXF3ZDc3cVd5RDZfaWVyRGx0VUo5d28?oc=5
4167eef9628e9a35db7c22e1f716ea7b,2026-08-15,Tribunnews.com,KPK Dalami Laporan Keuangan KSO Abipraya-Jaya Abadi Terkait Korupsi Gedung Pemkab Lamongan - Tribunnews.com,Keuangan,F - Konstruksi,KPK Dalami Laporan Keuangan KSO Abipraya-Jaya Abadi Terkait Korupsi Gedung Pemkab Lamongan Tribunnews.com,https://news.google.com/rss/articles/CBMizwFBVV95cUxOQ2VWeDdQcy1jOVktVUpQYXRHcm9xOGE0SmVUYXlxVTVlR3RNWFN1Sjc5R2JqQ0NLSFk3ODhXWVE3a2dwNlJnalFLTVFaSmRzSHJCSEhYS2NCSkxwUFM0R0xtNDIyOUNsb3Joa3pBbEZGelNqZGZLUlRoUUZfNlNSS3diOEowRXZIbzYwdkEwZm5qVTFucHdGdkhHLXhaY1RNUnZyTzk0dFBKcHBXOV8zOHc3dGlwWjYwUy1DOXZhaDlwbmxlMXVOci1CRTZzdVE?oc=5
bfc5c594d59c4a567e9d73fd0425b1fc,2026-08-14,klikjatim.com,"Kunjungi TPST Tambakrigadung, Pak Yes Pastikan Pengelolaan Sampah Lamongan Berjalan Optimal - klikjatim.com",Ekonomi Umum,"E - Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang","Kunjungi TPST Tambakrigadung, Pak Yes Pastikan Pengelolaan Sampah Lamongan Berjalan Optimal klikjatim.com",https://news.google.com/rss/articles/CBMiwAFBVV95cUxObk5QZl9BZkFMTXNRbFBMbUNBNVVWdnZqYndDdHl5aExyU1NtVXkzbTB3NTgxVjV1Y3NINi02R21fdTE4dzdkaDRiTXZ0Z2x2cndTOW81U0FBcEFEQzlqVVFlUl9oNmtiOVVWb0NjWVA2TVFqNlJRaFctVy1xbnBTb0ctTVl1U3RPcGpyZk1zOUNzXzB6M0Y2SklUX2p4YURiVms2dGJXX2w4NVNiT1owak56OXJ0V3Z2ZTNYMjdBMlDSAcYBQVVfeXFMUFJZNm9VRGs4SEhDa0dSeWJKbGRfWVRpZDdXUHg4dnFXeTBHSGw2NWtCYVlLZ3VTR0pXdXZHTkZJWU1zMkpXSFc2NGdYYURZYS10WTY0cFZ2VWxQSTRpRldwWUlOU1A0X2p4SVBWclpKd1JSajJiNzJsaktqYlgwLVp5RGJ3MVhCczh3ZTdLUFBXcmRER3NudXItcFkzZWViSzloWlpnLVE5S0N1akwtSFhjQXEzd3dQRzRSbXVqZHdQV0k2NEtB?oc=5
042780a546e2fd5991462178d9393abc,2026-08-14,surabaya.kompas.com,"Viral Sego Boran Lamongan Dianggap Mahal hingga Rp 350.000, Pemkab Turun Tangan - surabaya.kompas.com",Harga dan Inflasi,"O - Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib","Viral Sego Boran Lamongan Dianggap Mahal hingga Rp 350.000, Pemkab Turun Tangan surabaya.kompas.com",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQeEpaV214VjFJOGZ5R3R6STdIQWJHZVVpWEhpWndhV2V3bzVaNkp5QnRSV2w1VjUtMGluQzRoTHFzVHJNUkpkU0REQ2ZjdzVuMUlPS1A1YXhkYk5CdDV4b1JqZGpBU0loU0tWdGtUMXB0bXZ0YmFaVWFtdWhPY0xXem53d0xHU1RqR0FnbHVMSUw3VkpqbEhvTGtiWVVjdUd6LXVPOTVHUktFY2pLVnl0Z3JWcTJaUXNUSjdYYU9pYmN0dw?oc=5
70d08b763e04852021867cca1517b315,2026-08-14,Antara News jatim,Pemkab Lamongan perkuat dukungan terhadap swasembada pangan nasional - Antara News jatim,Ekonomi Umum,"O - Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Pemkab Lamongan perkuat dukungan terhadap swasembada pangan nasional Antara News jatim,https://news.google.com/rss/articles/CBMisgFBVV95cUxQbHZ5VUlkcG9xRlJBVHRSdU1jMkJ0azIzbFJIdGQzNGRWdjU2LXpYV0JRdTEtSXROdEhYaFNNRlhhTElWai1vcXd0ZEtoYV9vY19heVNRYjhOMnBwUlZ5VGNEZkE0eGZUZlFlM0ltYTA3d1NxWGpxaHJHaTI5aFIyaTNxcVNKYW9mXzJOVjdQNmVkN0JMR01ZcWI4REw1dGhuQ1VSNVd2dUY4LVpMWExsdUdn0gG3AUFVX3lxTFBVWWlDRE5yVk8tZm9OQ0NDV1NMUXhtWjFiRlBsTzdwSE1KZ2dkNGtJeTRucmo2SFg2eTFncTQ4YU1XRURXMzQ0WUx5RU8weWpUdDRuRl90a2djMEx1OUstZDlBWGVNVFZieTJmR1AtWkpTaVlTeUwzQVA4OE5MQURMYktPWldWUDRHUFg0Z014N29SRmVpTGZsYzhSa0lvX1ktaWhDM1NvdEJETmZmY2VBT1R2WDVuRQ?oc=5
2a5a0df4d6705ad7506e51e68d23db4e,2026-08-14,beritajatim.com,UNISDA Lamongan Berdayakan UMKM Miyono dengan Teknologi dan Ekonomi Sirkular - beritajatim.com,UMKM,J - Informasi dan Komunikasi,UNISDA Lamongan Berdayakan UMKM Miyono dengan Teknologi dan Ekonomi Sirkular beritajatim.com,https://news.google.com/rss/articles/CBMiogFBVV95cUxObmhNakhnT3FxZDNaQ3EzdHdxVGNqdzJxUVdCN2lmWk9BNk5SYkZYYmNDUFRZMFh0dTMtSlFtdFdhYmk1RFhWclhiR2wwMUEyeFF4b0FQMGtQTmozVy1VMUpheUM2a3ZzSC0wYUJVaEVVWWtGVldTWDA0SXVCT1FvRzRNUE9UNWlZU3RCYjlCaWlZRHZZaVM3dUIzVDZnTmdOSVE?oc=5
de5812569792e3c715dba06c795419b2,2026-08-14,beritajatim.com,"HUT ke-65 Pramuka, Bupati Lamongan Dorong Generasi Muda Jadi Kekuatan Pembangunan Daerah - beritajatim.com",Infrastruktur,F - Konstruksi,"HUT ke-65 Pramuka, Bupati Lamongan Dorong Generasi Muda Jadi Kekuatan Pembangunan Daerah beritajatim.com",https://news.google.com/rss/articles/CBMisAFBVV95cUxQa3M3LXJ2eHhWX1hoaFIyZHZFdjVjOE9tTzhvZUVraGlGdWxjMERmSW5pWUhJUnBhT19YQkpaOW9kTXFqc3lCSkJvWVpzMk5sQ3FZR1JXRHM1aU1BRXgwakhxMjRqZTUyMkJzMGxySkE1RGNiMVNsdnFYMnNyT2VneGg1dE5jQmkyR3hMX0JPSWpfSnUyWWU5LXk4YXZSbHVnOEJaeXZvT0IxOElieGxDSA?oc=5
996d9513f06c2a4abd95a627b500fc70,2026-08-14,kabar1news.com,"iSentra Lamongan Jadi Sorotan, Kawasan Industri Strategis Paciran Diproyeksikan Dongkrak Ekonomi - kabar1news.com",Industri,C - Industri Pengolahan,"iSentra Lamongan Jadi Sorotan, Kawasan Industri Strategis Paciran Diproyeksikan Dongkrak Ekonomi kabar1news.com",https://news.google.com/rss/articles/CBMiuwFBVV95cUxONXFQR2VfakN1OVdsYWFKLUR2ZkFfb29VM0RRWG04aERvaHhBeG5CN3lBNkxDaEk3RnpIMmh5Z1hMSmJjUW92RUNZTy1rZDFWbTdTc2FMWFZIdkNidGxEUXFIRXd1VU03b2JVMkQwMTdSdFVBWFdjMEFibk9ZNDNQNTdpeGlPWnk1ZHlXUFhkVllwNEt6OWRfV2dDM1I3aEFHZ0tyWE10aDkyVGI0LVhUOExCc1ZhVUp3R25v?oc=5
65566e9f1778f383242929775cfe118c,2026-08-14,ANTARA News,Pemkab Lamongan perkuat dukungan terhadap swasembada pangan nasional - ANTARA News,Ekonomi Umum,"O - Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Pemkab Lamongan perkuat dukungan terhadap swasembada pangan nasional ANTARA News,https://news.google.com/rss/articles/CBMirwFBVV95cUxPV0kyUmc0U3pwM01TNThMREZhdWZuZ29JR2NVa2VWVDZhRkhueEw5Tkk5UjBtam95LTNtN2hva21aU1lULW5HXzdhYksyZFRXSTdxa05tSk9idlkwejVTWXZJZXlpdS1tb0NhNmJ2YWllZDZxR09YOEpwLVlYd0pBOEFMNEVXZERFMTRxNmRqVzZCYU1nbVQ3OGRycUNzZmxzNDY4NXd2TW1VWFpDZHpr0gGyAUFVX3lxTE4yWDFyYlVQcTRpTXRNek00Wkt5bk83ZklkZ25aMk5Rc2ZRbjlfN2VGTTd3cVUwNTJhVTVwRVRoa0QweTVEZGRma3lmcUdHNFlUbWJOdjB6bDZRUENNWFUxc3ZJaXRHZ0t3MTJieGdRZVRNemstYUlGTmNFLXpxU09nUENkYjdyb1FOV0F2MDhHb2FvZm9BbV9lZ0JfR2tIQlZNYWpMaVFvenI1SzN6YnVsTkE?oc=5
b8064a1adba506985aa32297f4e659ec,2026-08-14,Radarbangsa.com,Bupati Lamongan Kenalkan Potensi Wisata kepada Wakil Bupati Lombok Tengah - Radarbangsa.com,Pariwisata,I - Penyediaan Akomodasi dan Makan Minum,Bupati Lamongan Kenalkan Potensi Wisata kepada Wakil Bupati Lombok Tengah Radarbangsa.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxOc0U1LVRKSkVEY1ZSZVExd0dPVlhZX1pFdkRrNXgxV1RZU2ZxTXYtU1QyTzhveDMxdnlIanRtN3hfMm9ST0VodU95U1lCSWt1a1d1UkZQdXc2dDF0Q2drWHYzWUNQbFFwVUNiN2NiTTgyczM3V3NHVl8zR0lwVUxpd0RRd2NTR3A4MTZoSXF4aDZzQmFWcUQyMDRqdEtMT2I0NnVpZTNEWW5tS05KcXdnV1N3?oc=5
e42d22d69bd04c3ed17af37632b61a3a,2026-08-14,Nusantarapos.co.id,"Akses Pertanian Makin Lancar, Jalan Usaha Tani Mulus Hasil Kerja Satgas TMMD 129 Tingkatkan Perekonomian Lamongan - Nusantarapos.co.id",Pertanian,"A - Pertanian, Kehutanan, dan Perikanan","Akses Pertanian Makin Lancar, Jalan Usaha Tani Mulus Hasil Kerja Satgas TMMD 129 Tingkatkan Perekonomian Lamongan Nusantarapos.co.id",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPdFhiQUs0cXRicXE5alJBb1l6Tm1jNXFEajVBU1B1NEpTaGEwUnZuaHJKQl96a2dYb1dxeUt3UG5aUi1QaklmVjV3VVUtcWV3MVZidjhheHVSSW5JLVZRd0JYUzl1U09zZTQ1TGdxNjNxNm8taTA4MV9ncFdLU1pXRk40RUZqMzR4TjFFV2VaX1NaMGphcHdfWXpoNGhZc3VSSlJUbDIwSUFzWWpHU1RhbWxNVVZkVDA2WFRxcUJVWnk2bWtqbnVKLVdiV2ZQY2dNTHZjaWlydTAtN2ZEckItRA?oc=5
